OID,X,Y,ENTRC_EXIT,ACSBL_ENTR,ENTRC_TYPE,NOTES,LINE,TYPE,STATUS,YEARMONTH,COMP,MTR_AREA,STAT_NAME,ENTRC_LBL
-1,178968.356200000271201,663428.983899999409914,יציאה A - רח' יהודה הלוי / רח' רמח""ל,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אלנבי,A
-1,178889.999800000339746,663316.075500000268221,יציאה B - רח' מקווה ישראל,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אלנבי,B
-1,178788.870099999941885,663294.411800000816584,יציאה C - רח' אלנבי,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אלנבי,C
-1,179676.490100000053644,663716.393799999728799,יציאה A - רח' לינקולן,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,קרליבך,A
-1,179707.329300000332296,663658.055099999532104,יציאה B - רח' יצחק שדה,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,קרליבך,B
-1,179593.084999999962747,663541.511399999260902,יציאה C - דרך מנחם בגין (דרום),כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,קרליבך,C
-1,180155.170400000177324,664210.329800000414252,יציאה A - רח' הארבעה / מתחם שרונה,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,יהודית,A
-1,180244.941399999894202,664227.947699999436736,יציאה B - דרך מנחם בגין (צפון) / שד' יהודית,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,יהודית,B
-1,180130.302099999971688,664079.241000000387430,יציאה C - רח' המסגר,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,יהודית,C
-1,180077.810399999842048,664105.947200000286102,יציאה D - רח' החשמונאים,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,יהודית,D
-1,180528.588800000026822,664967.171199999749660,יציאה A - שד' שאול המלך / מחנה רבין (הקריה),כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,שאול המלך,A
-1,180599.229600000195205,664971.558499999344349,יציאה B - דרך מנחם בגין (צפון),<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,שאול המלך,B
-1,180506.988300000317395,664800.140100000426173,יציאה C - מרכז עזריאלי,כניסה / יציאה נגישה,"מדרגות + דרגנועים + מעלית
",שימו לב כי עד שלא יושלם הקניון החדש מדובר במדרגות בלבד,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,שאול המלך,C
-1,180958.737300000153482,665436.601600000634789,יציאה A - מסוף סבידור,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,ארלוזורוב,A
-1,180877.151499999687076,665433.140599999576807,יציאה B - רח' על פרשת דרכים,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,ארלוזורוב,B
-1,181620.438099999912083,665603.892300000414252,יציאה A - דרך אבא הלל / מגדל משה אביב,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אבא הלל,A
-1,181532.299999999813735,665564.521600000560284,יציאה B - רחוב ארלוזורוב,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אבא הלל,B
-1,181531.994300000369549,665609.101199999451637,יציאה C - דרך אבא הלל / מתחם הבורסה,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אבא הלל,C
-1,182540.545500000007451,666117.374800000339746,יציאה A - דרך ז'בוטינסקי (מזרח) / רח' התקווה,<Null>,מדרגות + דרגנועים, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,ביאליק,A
-1,182433.935100000351667,666006.649199999868870,יציאה B - לרח' ביאליק (דרום),<Null>,מדרגות, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,ביאליק,B
-1,182421.835500000044703,666028.317199999466538,יציאה C - לרח' ביאליק (צפון),כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,ביאליק,C
-1,183583.875699999742210,666478.471400000154972,יציאה A - דרך ז'בוטינסקי (מזרח) / רח' רבי עקיבא,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,בן־גוריון,A
-1,183469.029500000178814,666490.299399999901652,יציאה B - דרך ז'בוטינסקי (מערב) / רח' בן־גוריון,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,בן־גוריון,B
-1,184936.272800000384450,666640.677899999544024,יציאה A - דרך ז'בוטינסקי (מזרח) / רח' אהרונוביץ',כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אהרונוביץ׳,A
-1,184882.564799999818206,666670.246799999848008,יציאה B - דרך ז'בוטינסקי (מערב) / רח' אוסישקין,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,אהרונוביץ׳,B
-1,185640.325299999676645,667380.838700000196695,יציאה A - בני ברק,כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,גשר אם המושבות,A
-1,185616.994300000369549,667319.482599999755621,"יציאה B - לאזור התעשייה קריית אריה, פתח תקווה",כניסה / יציאה נגישה,מדרגות + דרגנועים + מעלית, ,אדום,תחתית,קיימת,202502.000000000000000,נתע,מטרופולין תל אביב,גשר אם המושבות,B
-1,230666.193500000052154,737008.933299999684095,,,,,נופית,עילית,מתוכננת,202602.000000000000000,חוצה ישראל,מטרופולין חיפה,ריינה,
-1,231907.119500000029802,735684.900900000706315,,,,,נופית,עילית,מתוכננת,202602.000000000000000,חוצה ישראל,מטרופולין חיפה,הר יונה_אזור התעשיה,
-1,231602.871100000105798,734817.436699999496341,,,,,נופית,עילית,מתוכננת,202602.000000000000000,חוצה ישראל,מטרופולין חיפה,אלון,
-1,230802.493099999614060,734379.584699999541044,,,,,נופית,עילית,מתוכננת,202602.000000000000000,חוצה ישראל,מטרופולין חיפה,גלעד,
-1,230426.218899999745190,734111.977099999785423,,,,,נופית,עילית,מתוכננת,202602.000000000000000,חוצה ישראל,מטרופולין חיפה,הגליל,
