OID,TRAFCODE,TRAFAUTH,ROADNAME,ROADNUMBER,YEARMONTH,Shape_Length
-1,70106,דרך ארץ, ,1,202007,1291.778876456409762
-1,60100,משרד הביטחון, ,1,202007,236.512079097633659
-1,10103,נתיבי איילון, ,,202007,694.167063270758717
-1,10103,נתיבי איילון, ,1,202007,1019.015729631195427
-1,10103,נתיבי איילון, ,,202007,164.033174472093776
-1,10103,נתיבי איילון, ,1,202007,1094.268052815525152
-1,10103,נתיבי איילון, ,,202007,395.167526964423018
-1,10103,נתיבי איילון, ,,202007,395.116025327540115
-1,10103,נתיבי איילון, ,,202007,5.786046029885574
-1,10103,נתיבי איילון, ,,202007,6.578925724675941
-1,10103,נתיבי איילון, ,,202007,28.713819809207404
-1,10103,נתיבי איילון, ,,202007,29.588892307232587
-1,10103,נתיבי איילון, ,,202007,254.315581220469994
-1,10103,נתיבי איילון, ,1,202007,485.591128469406613
-1,10103,נתיבי איילון, ,1,202007,352.573222777875174
-1,10103,נתיבי איילון, ,,202007,267.025670378957784
-1,10103,נתיבי איילון, ,1,202007,824.194430090473247
-1,10103,נתיבי איילון, ,,202007,158.358859200629212
-1,10103,נתיבי איילון, ,1,202007,294.226735501615678
-1,10103,נתיבי איילון, ,1,202007,556.150876359223844
-1,70101,נתיבי היובל, ,1,202007,2268.816286295667851
-1,10103,נתיבי איילון, ,2,202007,1071.948076157751075
-1,10103,נתיבי איילון, ,2,202007,1312.580191673011086
-1,10103,נתיבי איילון, ,2,202007,437.335830091386356
-1,10103,נתיבי איילון, ,2,202007,617.109540615285823
-1,10103,נתיבי איילון, ,2,202007,1383.600379704755142
-1,10103,נתיבי איילון, ,5516,202305,1749.345235889604737
-1,10103,נתיבי איילון, ,2,202007,3121.372646064973651
-1,10103,נתיבי איילון, ,2,202007,99.495889194484320
-1,10103,נתיבי איילון, ,,202007,60.271838102156892
-1,10103,נתיבי איילון, ,,202007,437.397773485032360
-1,10103,נתיבי איילון, ,2,202007,999.408210762067483
-1,10103,נתיבי איילון, ,,202007,138.449956123099525
-1,10103,נתיבי איילון, ,,202007,714.919459845474762
-1,10103,נתיבי איילון, ,,202007,829.080600985694900
-1,10103,נתיבי איילון, ,,202007,945.752379285485063
-1,10103,נתיבי איילון, ,,202007,732.659285268494614
-1,10103,נתיבי איילון, ,,202007,89.526427955555334
-1,10103,נתיבי איילון, ,,202007,535.622988828369444
-1,10103,נתיבי איילון, ,2,202007,4624.844714156198279
-1,10103,נתיבי איילון, ,,202007,386.232089284720814
-1,10103,נתיבי איילון, ,2,202007,430.493616927967764
-1,10103,נתיבי איילון, ,,202007,306.450198929057478
-1,10103,נתיבי איילון, ,,202007,332.968632694614826
-1,10103,נתיבי איילון, ,2,202007,286.734210951828402
-1,10103,נתיבי איילון, ,,202007,325.558969777390189
-1,10103,נתיבי איילון, ,,202007,598.565447000571794
-1,10103,נתיבי איילון, ,,202007,264.117205551004986
-1,10103,נתיבי איילון, ,2,202007,615.934573783471706
-1,10103,נתיבי איילון, ,,202007,285.556715116361374
-1,10103,נתיבי איילון, ,,202007,183.987875165660853
-1,10103,נתיבי איילון, ,,202007,610.592359883088420
-1,10103,נתיבי איילון, ,2,202007,544.313529291635291
-1,10101,נתיבי ישראל, ,20,202007,679.436463310389627
-1,10105,רכבת ישראל, ,227,202007,212.436495402176718
-1,70105,כרמלטון, ,23,202305,5763.286793771972953
-1,70105,כרמלטון, ,23,202305,5787.658613587054788
-1,70106,דרך ארץ, ,3,202007,955.124218155829226
-1,60100,משרד הביטחון, ,316,202007,298.984951854727115
-1,60100,משרד הביטחון, ,35,202007,488.596049309461023
-1,60100,משרד הביטחון, ,367,202007,834.422578246680473
-1,60100,משרד הביטחון, ,375,202007,458.921213946235810
-1,60100,משרד הביטחון, ,398,202007,346.413526598388614
-1,70101,נתיבי היובל, ,4,202007,1250.277763451665123
-1,10101,נתיבי ישראל, ,40,202507,329.156561708302320
-1,10101,נתיבי ישראל, ,,202507,175.644944185360345
-1,10101,נתיבי ישראל, ,40,202507,425.599430542905623
-1,10101,נתיבי ישראל, ,,202507,162.046188965050334
-1,10101,נתיבי ישראל, ,,202507,110.594469209928761
-1,10101,נתיבי ישראל, ,,202507,366.065206888550847
-1,10105,רכבת ישראל, ,40,202007,159.745077247128393
-1,10103,נתיבי איילון, ,402,202007,3723.866534114667047
-1,70106,דרך ארץ, ,411,202007,509.434042990460625
-1,70101,נתיבי היובל, ,42,202007,1908.415411229344045
-1,70101,נתיבי היובל, ,423,202007,293.041119915984268
-1,70106,דרך ארץ, ,424,202007,1617.955061592056154
-1,70101,נתיבי היובל, ,4304,202007,122.626348829907016
-1,10103,נתיבי איילון, ,431,202007,297.503648795211745
-1,10103,נתיבי איילון, ,431,202007,849.290088530988442
-1,10103,נתיבי איילון, ,431,202007,133.754094792888139
-1,10103,נתיבי איילון, ,431,202007,1420.255608058116650
